,Age in 5-year groups,Type of place of residence,Number of household members,Source of drinking water,Time to get to water source (minutes),Type of toilet facility,Has electricity,Has radio,Age of head of household,Sons who have died,Daughters who have died,Total children ever born
18,45-49,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,pit latrine without slab/open pit,no,no,45.0,2,5,12
19,35-39,rural,7,protected well,9.0,no facility/bush/field,no,no,72.0,0,0,3
20,35-39,rural,7,protected well,9.0,no facility/bush/field,no,no,72.0,0,0,3
21,40-44,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,50.0,no facility/bush/field,no,yes,65.0,0,1,8
22,40-44,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,50.0,no facility/bush/field,no,yes,65.0,0,0,0
23,15-19,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,50.0,no facility/bush/field,no,yes,65.0,0,0,1
24,40-44,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,no facility/bush/field,no,no,55.0,0,0,4
25,20-24,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,no facility/bush/field,no,no,55.0,0,0,2
26,15-19,rural,4,protected well,7.0,pit latrine without slab/open pit,no,no,65.0,0,0,0
27,45-49,rural,3,unprotected well,20.0,pit latrine without slab/open pit,no,yes,70.0,2,2,11
28,35-39,rural,4,protected well,5.0,pit latrine without slab/open pit,no,yes,35.0,1,0,2
29,30-34,rural,4,protected well,60.0,pit latrine with slab,no,yes,42.0,0,0,2
30,35-39,rural,7,unprotected well,45.0,pit latrine without slab/open pit,no,yes,45.0,0,1,6
31,35-39,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,6.0,no facility/bush/field,no,yes,40.0,1,0,3
32,40-44,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,45.0,no facility/bush/field,no,no,43.0,0,1,9
33,15-19,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,45.0,no facility/bush/field,no,no,43.0,0,0,2
34,25-29,rural,10,unprotected spring,30.0,pit latrine with slab,no,no,55.0,0,2,3
35,15-19,rural,10,unprotected spring,30.0,pit latrine with slab,no,no,55.0,1,0,2
36,30-34,rural,10,unprotected spring,30.0,pit latrine with slab,no,no,55.0,4,0,5
37,45-49,rural,10,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,yes,57.0,1,4,11
38,15-19,rural,10,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,yes,57.0,0,0,1
39,15-19,rural,10,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,yes,57.0,0,0,0
40,30-34,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,no facility/bush/field,no,yes,38.0,0,2,6
41,40-44,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,no facility/bush/field,no,yes,54.0,0,0,5
42,20-24,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,no facility/bush/field,no,yes,54.0,0,0,1
43,35-39,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,no facility/bush/field,no,no,38.0,4,1,8
44,30-34,rural,5,unprotected spring,45.0,no facility/bush/field,no,no,35.0,0,2,5
45,40-44,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,no facility/bush/field,no,yes,50.0,0,0,2
46,30-34,rural,9,unprotected spring,10.0,no facility/bush/field,no,yes,43.0,0,0,1
47,35-39,rural,9,unprotected spring,10.0,no facility/bush/field,no,yes,43.0,1,1,4
48,25-29,rural,4,protected well,0.0,no facility/bush/field,no,yes,27.0,0,1,3
49,25-29,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,no facility/bush/field,no,no,30.0,2,0,4
50,15-19,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,no facility/bush/field,no,no,65.0,1,0,1
51,25-29,rural,5,unprotected spring,35.0,pit latrine with slab,no,no,29.0,1,0,4
52,20-24,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,no facility/bush/field,no,no,46.0,0,0,1
53,40-44,rural,10,unprotected spring,45.0,pit latrine with slab,no,yes,57.0,0,0,2
54,20-24,rural,10,unprotected spring,45.0,pit latrine with slab,no,yes,57.0,0,0,0
55,15-19,rural,10,unprotected spring,45.0,pit latrine with slab,no,yes,57.0,0,0,1
56,45-49,rural,4,unprotected spring,5.0,no facility/bush/field,no,no,48.0,4,2,10
57,45-49,rural,12,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,no facility/bush/field,no,yes,50.0,0,0,2
58,20-24,rural,12,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,no facility/bush/field,no,yes,50.0,0,0,3
59,30-34,rural,9,unprotected spring,30.0,pit latrine with slab,no,yes,60.0,0,0,4
60,30-34,rural,9,unprotected spring,30.0,pit latrine with slab,no,yes,60.0,1,2,4
61,20-24,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,4.0,no facility/bush/field,no,yes,70.0,0,0,0
62,15-19,rural,2,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,yes,29.0,0,0,0
63,45-49,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,6.0,no facility/bush/field,no,yes,62.0,2,0,6
64,30-34,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,no facility/bush/field,no,yes,55.0,1,2,5
65,30-34,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,pit latrine without slab/open pit,yes,no,38.0,0,0,2
66,30-34,rural,12,protected spring,20.0,pit latrine with slab,no,no,64.0,1,0,3
67,40-44,rural,6,unprotected spring,20.0,pit latrine without slab/open pit,no,no,43.0,3,3,10
68,35-39,rural,12,protected well,11.0,no facility/bush/field,no,yes,42.0,0,1,5
69,40-44,rural,8,protected well,14.0,pit latrine without slab/open pit,no,no,46.0,0,0,6
70,15-19,rural,8,protected well,14.0,pit latrine without slab/open pit,no,no,46.0,0,0,0
71,35-39,rural,9,protected well,6.0,pit latrine without slab/open pit,no,no,39.0,0,1,6
72,45-49,rural,8,protected well,10.0,no facility/bush/field,no,no,56.0,1,1,9
73,40-44,rural,8,protected well,25.0,pit latrine with slab,no,yes,56.0,1,0,7
74,15-19,rural,8,protected well,25.0,pit latrine with slab,no,yes,56.0,0,0,0
75,15-19,rural,8,protected well,25.0,pit latrine with slab,no,yes,56.0,0,0,0
76,30-34,rural,11,river/dam/lake/ponds/stream/canal/irrigation channel,21.0,pit latrine without slab/open pit,no,yes,92.0,0,0,5
77,20-24,rural,11,river/dam/lake/ponds/stream/canal/irrigation channel,21.0,pit latrine without slab/open pit,no,yes,92.0,0,0,2
78,40-44,rural,8,protected well,7.0,pit latrine without slab/open pit,no,no,61.0,2,0,7
79,20-24,rural,8,protected well,7.0,pit latrine without slab/open pit,no,no,61.0,0,0,2
80,40-44,rural,6,protected spring,10.0,pit latrine without slab/open pit,no,no,45.0,1,0,5
81,25-29,rural,7,protected well,7.0,pit latrine without slab/open pit,no,yes,62.0,0,1,3
82,30-34,rural,8,protected well,4.0,pit latrine without slab/open pit,no,yes,36.0,2,0,5
83,30-34,rural,8,protected well,4.0,pit latrine without slab/open pit,no,yes,36.0,1,0,3
84,20-24,rural,13,unprotected spring,20.0,pit latrine without slab/open pit,no,yes,64.0,0,0,1
85,35-39,rural,13,unprotected spring,20.0,pit latrine without slab/open pit,no,yes,64.0,0,1,3
86,30-34,rural,4,protected spring,15.0,pit latrine with slab,no,no,40.0,1,0,3
87,30-34,rural,6,protected well,10.0,no facility/bush/field,no,yes,42.0,0,0,4
88,45-49,rural,6,protected well,0.0,pit latrine with slab,no,yes,40.0,2,1,8
89,15-19,rural,6,protected well,0.0,pit latrine with slab,no,yes,40.0,0,0,0
90,25-29,rural,6,protected spring,20.0,pit latrine without slab/open pit,no,no,39.0,0,1,6
91,35-39,rural,11,protected well,8.0,pit latrine without slab/open pit,no,yes,45.0,0,0,7
92,25-29,rural,10,unprotected well,8.0,pit latrine without slab/open pit,no,yes,63.0,0,0,3
93,15-19,rural,10,unprotected well,8.0,pit latrine without slab/open pit,no,yes,63.0,0,0,1
94,20-24,rural,6,protected well,10.0,pit latrine without slab/open pit,no,yes,46.0,0,0,0
95,15-19,rural,6,protected well,10.0,pit latrine without slab/open pit,no,yes,46.0,0,0,1
96,40-44,rural,5,protected spring,20.0,ventilated improved pit latrine (vip),no,yes,44.0,1,1,4
97,35-39,rural,10,protected well,15.0,no facility/bush/field,no,yes,42.0,0,0,6
98,15-19,rural,10,protected well,15.0,no facility/bush/field,no,yes,42.0,0,0,0
99,25-29,rural,11,protected well,3.0,pit latrine without slab/open pit,no,yes,44.0,0,0,5
100,15-19,rural,11,protected well,3.0,pit latrine without slab/open pit,no,yes,44.0,0,0,0
101,35-39,rural,8,protected well,10.0,pit latrine without slab/open pit,no,yes,45.0,0,0,7
102,15-19,rural,8,protected well,10.0,pit latrine without slab/open pit,no,yes,45.0,0,0,1
103,20-24,rural,5,protected well,13.0,pit latrine without slab/open pit,no,no,37.0,1,0,3
104,30-34,rural,13,protected spring,10.0,pit latrine without slab/open pit,no,yes,39.0,2,0,5
105,45-49,rural,13,protected spring,10.0,pit latrine without slab/open pit,no,yes,39.0,1,1,10
106,15-19,rural,13,protected spring,10.0,pit latrine without slab/open pit,no,yes,39.0,0,0,0
107,20-24,rural,4,protected spring,20.0,pit latrine without slab/open pit,no,yes,46.0,0,0,2
108,35-39,rural,11,protected spring,20.0,pit latrine with slab,no,yes,41.0,1,0,7
109,15-19,rural,11,protected spring,20.0,pit latrine with slab,no,yes,41.0,0,0,0
110,20-24,rural,11,protected spring,20.0,pit latrine with slab,no,yes,41.0,0,0,2
111,25-29,rural,10,river/dam/lake/ponds/stream/canal/irrigation channel,14.0,no facility/bush/field,no,no,52.0,0,0,1
112,20-24,rural,10,river/dam/lake/ponds/stream/canal/irrigation channel,14.0,no facility/bush/field,no,no,52.0,0,0,1
113,40-44,rural,10,river/dam/lake/ponds/stream/canal/irrigation channel,14.0,no facility/bush/field,no,no,52.0,1,0,2
114,20-24,rural,7,unprotected spring,16.0,pit latrine with slab,no,yes,33.0,0,0,1
115,15-19,rural,7,unprotected spring,16.0,pit latrine with slab,no,yes,33.0,0,0,0
116,45-49,rural,7,unprotected spring,25.0,no facility/bush/field,no,no,49.0,0,0,3
117,35-39,rural,7,unprotected spring,25.0,no facility/bush/field,no,no,49.0,2,2,4
118,20-24,rural,7,unprotected spring,25.0,no facility/bush/field,no,no,49.0,0,0,1
119,35-39,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,yes,42.0,1,0,4
120,30-34,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,yes,42.0,0,0,4
121,20-24,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,16.0,no facility/bush/field,no,yes,71.0,0,0,2
122,15-19,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,23.0,pit latrine with slab,no,yes,19.0,0,0,1
123,20-24,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,no facility/bush/field,no,yes,70.0,0,0,1
124,25-29,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,no facility/bush/field,no,yes,30.0,1,0,3
125,35-39,rural,5,tube well or borehole,35.0,pit latrine without slab/open pit,no,yes,40.0,1,0,6
126,40-44,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,pit latrine with slab,no,yes,50.0,2,0,7
127,30-34,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,pit latrine with slab,no,yes,50.0,0,1,3
128,15-19,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,pit latrine with slab,no,yes,50.0,0,0,0
129,35-39,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,pit latrine without slab/open pit,no,yes,45.0,0,2,6
130,30-34,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,pit latrine without slab/open pit,no,yes,45.0,1,0,4
131,30-34,rural,5,unprotected well,20.0,pit latrine with slab,no,no,75.0,0,0,4
132,20-24,rural,5,unprotected well,20.0,pit latrine with slab,no,no,75.0,0,0,0
133,25-29,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,26.0,pit latrine with slab,no,yes,30.0,0,0,2
134,15-19,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,26.0,pit latrine with slab,no,yes,30.0,0,0,0
135,15-19,rural,3,protected well,25.0,no facility/bush/field,no,yes,28.0,0,0,0
136,30-34,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,no facility/bush/field,no,yes,40.0,0,1,5
137,45-49,rural,4,protected well,20.0,no facility/bush/field,no,yes,61.0,1,1,8
138,30-34,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,19.0,pit latrine with slab,no,yes,37.0,0,0,4
139,35-39,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,pit latrine without slab/open pit,no,yes,67.0,1,0,6
140,40-44,rural,5,protected well,16.0,no facility/bush/field,no,yes,48.0,1,1,5
141,15-19,rural,5,protected well,16.0,no facility/bush/field,no,yes,48.0,0,0,0
142,30-34,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,yes,40.0,0,0,3
143,45-49,rural,5,unprotected well,45.0,pit latrine without slab/open pit,no,yes,65.0,0,2,7
144,20-24,rural,5,unprotected well,45.0,pit latrine without slab/open pit,no,yes,65.0,0,0,1
145,30-34,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,no facility/bush/field,no,no,30.0,1,0,5
146,35-39,rural,7,tube well or borehole,5.0,no facility/bush/field,no,yes,39.0,1,0,7
147,35-39,rural,7,tube well or borehole,5.0,no facility/bush/field,no,yes,39.0,1,0,2
148,25-29,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,no facility/bush/field,no,no,30.0,0,0,3
149,20-24,rural,4,tube well or borehole,20.0,pit latrine with slab,no,no,28.0,0,0,2
150,30-34,rural,9,tube well or borehole,,ventilated improved pit latrine (vip),no,no,78.0,1,0,8
151,15-19,rural,9,tube well or borehole,,ventilated improved pit latrine (vip),no,no,78.0,0,0,1
152,30-34,rural,9,tube well or borehole,,ventilated improved pit latrine (vip),no,no,78.0,0,0,2
153,15-19,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,no facility/bush/field,no,no,60.0,0,0,0
154,45-49,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,ventilated improved pit latrine (vip),yes,no,50.0,0,1,2
155,45-49,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,ventilated improved pit latrine (vip),yes,no,50.0,0,1,6
156,25-29,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,ventilated improved pit latrine (vip),yes,no,50.0,0,0,3
157,35-39,rural,6,tube well or borehole,8.0,no facility/bush/field,no,no,40.0,3,1,9
158,15-19,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,no facility/bush/field,no,yes,53.0,0,0,0
159,30-34,rural,7,tube well or borehole,5.0,no facility/bush/field,no,no,49.0,0,0,4
160,40-44,rural,2,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,no facility/bush/field,no,yes,52.0,0,0,4
161,30-34,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,no facility/bush/field,no,yes,40.0,1,0,2
162,20-24,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,no facility/bush/field,no,yes,40.0,0,0,1
163,25-29,rural,4,tube well or borehole,8.0,no facility/bush/field,no,no,34.0,0,0,2
164,40-44,rural,2,unprotected well,10.0,no facility/bush/field,no,yes,43.0,1,0,7
165,25-29,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,no facility/bush/field,no,no,40.0,0,1,3
166,25-29,rural,5,tube well or borehole,20.0,pit latrine with slab,no,yes,75.0,0,0,4
167,25-29,rural,5,tube well or borehole,15.0,pit latrine with slab,no,yes,35.0,0,0,3
168,25-29,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,no facility/bush/field,no,no,26.0,0,1,4
169,40-44,rural,2,tube well or borehole,3.0,no facility/bush/field,no,no,38.0,0,0,4
170,15-19,rural,3,tube well or borehole,10.0,pit latrine without slab/open pit,no,yes,54.0,0,0,1
171,25-29,rural,9,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,no facility/bush/field,no,no,65.0,1,1,5
172,35-39,rural,6,tube well or borehole,20.0,pit latrine with slab,no,yes,45.0,0,0,5
173,15-19,rural,6,tube well or borehole,20.0,pit latrine with slab,no,yes,45.0,0,0,0
174,20-24,rural,7,tube well or borehole,8.0,no facility/bush/field,no,no,40.0,0,0,1
175,35-39,rural,6,protected well,5.0,ventilated improved pit latrine (vip),no,yes,52.0,2,0,7
176,25-29,rural,9,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,pit latrine without slab/open pit,no,yes,35.0,1,0,4
177,25-29,rural,9,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,pit latrine without slab/open pit,no,yes,35.0,0,0,3
178,15-19,rural,5,protected well,20.0,pit latrine without slab/open pit,no,yes,24.0,0,0,1
179,30-34,rural,5,protected well,20.0,pit latrine without slab/open pit,no,yes,24.0,0,0,1
180,15-19,rural,10,protected well,2.0,pit latrine without slab/open pit,no,no,60.0,0,0,0
181,15-19,rural,10,protected well,2.0,pit latrine without slab/open pit,no,no,60.0,0,0,0
182,45-49,rural,7,protected well,5.0,pit latrine without slab/open pit,no,yes,60.0,0,1,4
183,25-29,rural,6,tube well or borehole,8.0,pit latrine without slab/open pit,no,yes,30.0,0,0,3
184,20-24,rural,6,tube well or borehole,8.0,pit latrine without slab/open pit,no,yes,30.0,0,0,0
185,35-39,rural,9,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,pit latrine without slab/open pit,no,yes,39.0,0,0,6
186,35-39,rural,9,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,pit latrine without slab/open pit,no,yes,39.0,0,1,7
187,15-19,rural,2,river/dam/lake/ponds/stream/canal/irrigation channel,19.0,ventilated improved pit latrine (vip),no,no,21.0,0,0,0
188,35-39,rural,2,unprotected well,9.0,ventilated improved pit latrine (vip),no,no,37.0,0,0,3
189,40-44,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,pit latrine without slab/open pit,no,no,73.0,0,2,7
190,15-19,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,pit latrine without slab/open pit,no,no,73.0,0,0,0
191,30-34,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,pit latrine without slab/open pit,no,yes,42.0,0,0,4
192,25-29,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,pit latrine without slab/open pit,no,yes,42.0,1,0,2
193,30-34,rural,7,unprotected spring,30.0,pit latrine with slab,no,yes,38.0,0,0,4
194,15-19,rural,7,unprotected spring,30.0,pit latrine with slab,no,yes,38.0,0,0,0
195,15-19,rural,2,unprotected well,5.0,pit latrine without slab/open pit,no,yes,20.0,0,0,0
196,35-39,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,ventilated improved pit latrine (vip),no,no,30.0,0,0,2
197,40-44,rural,8,protected well,10.0,pit latrine without slab/open pit,no,no,54.0,0,0,5
198,15-19,rural,8,protected well,10.0,pit latrine without slab/open pit,no,no,54.0,0,0,0
199,20-24,rural,5,protected well,0.0,pit latrine with slab,no,yes,22.0,0,0,1
200,40-44,rural,5,protected well,0.0,pit latrine with slab,no,yes,22.0,1,0,6
201,35-39,rural,3,unprotected spring,120.0,pit latrine without slab/open pit,no,yes,36.0,0,0,5
202,35-39,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,7.0,ventilated improved pit latrine (vip),no,no,40.0,0,0,5
203,45-49,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,ventilated improved pit latrine (vip),no,no,47.0,1,0,7
204,25-29,rural,7,protected spring,25.0,pit latrine with slab,no,yes,37.0,0,0,2
205,25-29,rural,7,protected spring,25.0,pit latrine with slab,no,yes,37.0,0,0,2
206,20-24,rural,4,unprotected spring,60.0,pit latrine without slab/open pit,no,no,28.0,0,0,2
207,40-44,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,pit latrine with slab,no,yes,45.0,0,0,5
208,40-44,rural,9,unprotected spring,17.0,pit latrine with slab,no,yes,42.0,1,0,6
209,20-24,rural,9,unprotected spring,17.0,pit latrine with slab,no,yes,42.0,0,0,0
210,25-29,rural,9,unprotected spring,17.0,pit latrine with slab,no,yes,42.0,0,0,1
211,30-34,rural,8,unprotected spring,30.0,pit latrine without slab/open pit,no,yes,45.0,0,0,5
212,25-29,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,pit latrine without slab/open pit,no,yes,30.0,0,0,2
213,45-49,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,pit latrine without slab/open pit,no,yes,30.0,0,0,5
214,15-19,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,pit latrine without slab/open pit,no,yes,30.0,0,0,0
215,20-24,rural,3,unprotected spring,120.0,pit latrine without slab/open pit,no,yes,24.0,0,0,2
216,25-29,rural,12,unprotected well,10.0,ventilated improved pit latrine (vip),no,yes,72.0,0,0,1
217,15-19,rural,12,unprotected well,10.0,ventilated improved pit latrine (vip),no,yes,72.0,0,0,0
218,45-49,rural,19,unprotected spring,15.0,pit latrine with slab,no,yes,47.0,0,0,6
219,40-44,rural,19,unprotected spring,15.0,pit latrine with slab,no,yes,47.0,3,2,8
220,40-44,rural,19,unprotected spring,15.0,pit latrine with slab,no,yes,47.0,0,3,7
221,25-29,rural,19,unprotected spring,15.0,pit latrine with slab,no,yes,47.0,0,1,3
222,30-34,rural,19,unprotected spring,15.0,pit latrine with slab,no,yes,47.0,0,0,5
223,20-24,rural,19,unprotected spring,15.0,pit latrine with slab,no,yes,47.0,0,0,1
224,35-39,rural,9,protected well,0.0,ventilated improved pit latrine (vip),no,no,37.0,0,1,5
225,15-19,rural,9,protected well,0.0,ventilated improved pit latrine (vip),no,no,37.0,0,0,0
226,15-19,rural,8,protected well,30.0,ventilated improved pit latrine (vip),no,yes,55.0,0,1,1
227,15-19,rural,8,protected well,30.0,ventilated improved pit latrine (vip),no,yes,55.0,1,0,2
228,15-19,rural,5,tube well or borehole,30.0,no facility/bush/field,no,yes,60.0,0,0,0
229,45-49,rural,9,tube well or borehole,45.0,pit latrine with slab,no,yes,44.0,0,2,8
230,15-19,rural,9,tube well or borehole,45.0,pit latrine with slab,no,yes,44.0,0,0,0
231,25-29,rural,9,tube well or borehole,45.0,pit latrine with slab,no,yes,44.0,0,0,2
232,45-49,rural,16,tube well or borehole,60.0,pit latrine with slab,no,yes,45.0,4,2,10
233,20-24,rural,16,tube well or borehole,60.0,pit latrine with slab,no,yes,45.0,0,0,1
234,20-24,rural,16,tube well or borehole,60.0,pit latrine with slab,no,yes,45.0,0,0,1
235,15-19,rural,16,tube well or borehole,60.0,pit latrine with slab,no,yes,45.0,0,0,0
236,35-39,rural,6,tube well or borehole,30.0,pit latrine with slab,no,yes,67.0,0,1,3
237,35-39,rural,8,protected well,20.0,pit latrine with slab,no,yes,40.0,2,1,8
238,30-34,rural,4,tube well or borehole,60.0,no facility/bush/field,no,yes,26.0,0,0,2
239,45-49,rural,6,tube well or borehole,45.0,no facility/bush/field,no,yes,21.0,1,2,7
240,45-49,rural,13,protected well,60.0,pit latrine without slab/open pit,no,yes,45.0,4,2,14
241,25-29,rural,13,protected well,60.0,pit latrine without slab/open pit,no,yes,45.0,0,0,2
242,30-34,rural,5,tube well or borehole,,pit latrine without slab/open pit,no,yes,30.0,0,0,5
243,20-24,rural,11,tube well or borehole,11.0,pit latrine with slab,no,yes,62.0,0,0,1
244,25-29,rural,11,tube well or borehole,11.0,pit latrine with slab,no,yes,62.0,0,0,3
245,20-24,rural,11,tube well or borehole,11.0,pit latrine with slab,no,yes,62.0,0,0,1
246,20-24,rural,5,tube well or borehole,0.0,no facility/bush/field,no,no,22.0,0,0,3
247,35-39,rural,7,protected well,60.0,no facility/bush/field,no,yes,60.0,1,0,2
248,15-19,rural,7,protected well,60.0,no facility/bush/field,no,yes,60.0,0,0,0
249,20-24,rural,4,tube well or borehole,45.0,flush to pit latrine,no,yes,30.0,0,0,2
250,15-19,rural,10,tube well or borehole,25.0,no facility/bush/field,no,yes,25.0,0,1,2
251,25-29,rural,10,tube well or borehole,25.0,no facility/bush/field,no,yes,25.0,0,0,2
252,35-39,rural,3,tube well or borehole,0.0,other,no,yes,70.0,0,4,6
253,25-29,rural,5,tube well or borehole,30.0,pit latrine with slab,no,yes,42.0,0,0,2
254,25-29,rural,3,tube well or borehole,60.0,no facility/bush/field,no,no,27.0,0,0,2
255,30-34,rural,5,public tap/standpipe,60.0,no facility/bush/field,no,yes,30.0,2,1,7
256,35-39,rural,5,protected well,30.0,ventilated improved pit latrine (vip),no,yes,50.0,0,0,2
257,40-44,rural,5,protected well,30.0,ventilated improved pit latrine (vip),no,yes,50.0,2,0,8
258,25-29,rural,4,public tap/standpipe,14.0,no facility/bush/field,no,no,25.0,0,1,3
259,45-49,rural,2,public tap/standpipe,15.0,no facility/bush/field,no,yes,62.0,7,2,12
260,20-24,rural,2,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,pit latrine without slab/open pit,no,yes,24.0,0,0,0
261,15-19,rural,13,public tap/standpipe,12.0,pit latrine with slab,no,no,65.0,0,0,1
262,20-24,rural,13,public tap/standpipe,12.0,pit latrine with slab,no,no,65.0,0,1,1
